ids,times,stars,previews,likes
彈殼,2020-11-09 00:41:00,30,看了下评价，早期的评论大多是骂郭敬明的，后面渐渐开始出现骂陈凯歌的声音了...说回内容本身，只能用「剧里剧外都是剧本」来评价了。前期演员自己排演还凑合，后面导演下场后的点评就成了各种商业尬捧了，诚儒老师也不敢讲真话了，因为某些导演实在小家子气。,3,
豆友210321720,2020-11-01 02:11:52,30,刚看完实在忍不住了，微博都是粉丝捧，我就要说，陈宥维，你演技真的烂，你和何昶希演技半斤八两，顶峰相见？？？自己心里没点数吗？演成这破烂样，出了粉丝吹捧圈子，你看到谁不笑话？别的比你演技好的都走了，还得看你俩留下来，资本nb不说什么了，但你俩演技烂，没得洗！！！气死我了，甄嬛传演的什么鬼。,7,
Taco,2020-11-04 09:26:35,20,讲道理这个综艺现在除了李诚儒老师说实话还有谁说真话陈凯歌导演一副小家子气听不得别人批评他点评还是可以的但别双标行吧公正对待自己剧本的演员很难吗这点就挺喜欢赵薇她对自己的组员既有批评也有夸奖而且陈导最近几期给等级也让我迷惑好的不让进差的反而留住了😰算了看来看去还是稍微更喜欢薇导和尔导演员里面喜欢任敏和温峥嵘其实想打五星毕竟综艺效果拉满下饭看挺不错,6,
内涵小蛐蛐,2020-10-09 16:45:17,10,郭敬明只值一星，但是尔冬升拉回两星，不过节目这鬼节目没安排是不可能的，我只能说第一期而已，为了制造话题尔冬升疯狂输出，就像上一季的李成儒，他不是敢说实话，只是单纯的不爽郭敬明。陈宥维作为腾讯友方爱奇艺出道的演员，就这么被骂，还有张大大，腾讯以前签了他这么多节目，很有可能背后有人，以后可能真要拿个s，等着吧，这烂操行的节目，越想越觉得可能，还是一星算了！,5,
一剑西来,2020-11-04 11:11:48,10,欺负老实人嘛？,4,
养生少女,2020-10-17 23:28:11,10,感觉看这节目看的不是演员的表演而是评委的表演…,6,
SPANCE,2020-10-29 21:28:37,30,陈凯歌导演对《无极》的评价直接败坏了我对这部综艺的全部好感。对于演技的评价没有一个标准答案，然而其身为大导演所缺乏的肚量让我大失所望。,7,
流感时带着猫,2020-11-08 00:50:55,20,看群体怼郭敬明时，本以为是鲜花；看陈凯歌双标给A牌，才发现是狗屎；多给一星是给那些过气且还在努力的人比如倪虹洁，比如曹骏，未必有多好、但不应该面对这样的结果。最后说一句：陈凯歌比郭敬明还恶心。,4,
野,2020-11-22 05:53:14,10,突然有点佩服郭敬明，对何昶希的宠爱从一而终，S卡永远留给这个饱受吐槽的鲜肉。反观陈凯歌，自从组织里有了冠军候选人胡杏儿以后，就对别人倍加关爱。从对郭敬明行为的惊讶，到亲口说出“节目的原则就是帮后进的年轻演员取得进步”。我也只能用一句原来如此，来掩盖内心对当下综艺手段的惊愕和唾弃。,6,
北纬三十四,2020-11-02 14:32:06,20,陈凯歌令人迷惑无语的程度即将赶超郭敬明！尔冬升挺住！,6,
小4,2020-10-25 01:53:43,10,again，我认真就是我蠢。看第一集对于流量明星的批评以为难得的公正的节目。实际上，郭敬明就不说了，呵呵。其他几个也是，嗯，口嫌体正直。一边夸老演员的演技好，一边票又给有话题和流量的演技一般的人。ok，fine，again，it'sjustashow.,5,
岳八千,2020-10-24 23:03:07,30,太爱李诚儒老师,5,
Hector win,2020-11-15 00:08:00,10,郭敬明就是臭狗屎，直接说了，流量当道的演员评选节目就是辣鸡。,5,
五条仁科,2020-10-03 20:10:05,30,基本上都把他们表演得片段跳过去了，就看导演们说话了，尔冬升可以的！,4,
🐢,2020-11-08 01:31:29,10,要是有负分，我会给-10086分这个节目，整个就非常虚伪，把各种阴暗面各种恶臭毫不避讳的搬上舞台，佩服。看到了世界的恶意，以及好演员的艰难，唉，生活本就太难了，还让人看这种垃圾玩意儿，口区,7,
桃夭,2020-11-07 21:35:09,10,这综艺可真是绝好演员被淘汰演技烂成稀泥的都留下活脱脱一个劣币驱逐良币的场面结果人家还公然告诉你我就是要把良币逼上死路第一季尚且还能看到一点点诚意第二季资本方居然如此露骨的喂观众吃屎这想必还是建国以来第一次真应了那句话在中国拍戏拍的不是艺术而是人情世故导演们无视规则选妃的选妃自恋的自恋和稀泥的和稀泥演员比的是流量拼的是资本没人在意演技的好坏主持人捧高踩低看人下菜碟剪辑方也毫无顾忌乱剪一通活脱脱一个微缩版影视圈这档节目最大的意义就是告诉我们真实的影视圈就是这般肮脏告诉我们这才是影视圈乱成一锅粥烂片倍出的原因这节目可别叫演员请就位了干脆叫演员准备撕逼喷子马上出场剪辑开始表演主持迅速站队资本公然喂屎戏精导演大赏,7,
江湖骗子,2020-10-25 02:07:46,10,居然期待过这个综艺能和别的不一样，不过到头来综艺终究是综艺,6,
幽灵蛸科瑞莫斯,2020-11-08 12:01:24,10,演员是否就位了不清楚，但是资本已经就位了。,0,
云节,2020-11-01 08:29:56,10,大型舔狗现场演员请就位✘垃圾请就位✔,6,
susan,2020-10-02 22:04:48,20,啥都要比赛，也是醉了！！马苏也要来参加这样的综艺嘛？！唉，可惜了!!给尔冬升两颗星，敢说真话的人不多,12,
Yo-Yo Hoo,2020-11-07 23:28:46,10,原来陈凯歌是极致版的郭敬明！,5,
粉红色的小野兽,2020-10-03 23:20:42,10,用力过猛不等于演技！！！郭敬明凭什么来评论演技！！！,5,
小点点,2020-10-24 23:16:27,10,前三期还能看个热闹，毕竟也要演的好的，演的不好的能直接说出来。按照100分标准来说，第4期有的个别演员只能说及格凑合，特别是误杀这段，李成儒已经说的很到位了（那个台词节奏，4位导演都以为观众是听力障碍？）4个导演抱团取暖狂夸，结果就胡杏儿有票，前后不尴尬吗？陈凯歌老阴阳人了，前面狂阴阳李成儒，后面又说接受一切评价。tm的你们一个娱乐节目，没有主线剧本吗？,8,
早起的青年,2020-11-01 09:41:57,10,拼演技的综艺都敢这么明目张胆把观众当傻子糊弄了吗？？？,5,
M’attendait,2020-11-22 16:22:30,20,乌鸡鲅鱼这投票就离谱陈凯歌两个第一他配吗？F小调幻想曲全场最垃圾比郭敬明的明星诞生还差什么垃圾剧本一个中年男人写出来的想告诉女人婚姻爱情才是必不可缺的？你在教我做事啊何昶希陈宥维我都懒得说了吹啥进步进步可能演技从负的变为零了吧还是在可以卡的帮助下,5,
失真,2020-11-11 22:56:05,10,皇帝的新衣2,3,
一首日光曲,2020-10-03 19:02:52,30,评价一下，小时代和大闹天竺，纯洁心灵·逐梦演艺圈等电影，属于一个级别，要说小时代是经典，但请在经典后面加上烂剧两字，合起就是《经典烂剧小时代》有不同意的么？,11,
我把青春另存了,2020-11-10 19:42:31,10,心疼李诚儒，这种标榜发现有演技的演员，实际博眼球的垃圾节目，就不该有，建议节目改名《导演请撕逼》！,5,
LionRabbit,2020-11-07 13:32:11,10,劣币驱逐良币，资本公然喂观众吃屎,11,
厂长打烂个蒸钵,2020-10-18 09:51:07,10,哪里找的这么些脑袋空空的僵尸,4,
sunny love☀️,2020-11-15 17:37:43,10,演员请就位？资本请就位！,4,
Pluviophile,2020-11-04 08:31:35,10,唯一的实在人走了，不看也罢,5,
六日同学,2020-10-26 15:08:53,10,本来第一期看了尔冬升的点评还挺期待的，以为导演都这么敢说，看到第四期实在追不动了。李诚儒老师独自美丽吧，讲话客观公正，辣鸡主持暗戳戳拱火，四个导演粉饰太平互捧报团，都在这说好话我看你个屁，难怪现在中国电影电视剧稀烂,8,
ll,2020-11-01 02:39:56,10,恶心吐了，潜规则太多,4,
......,2020-11-16 09:07:23,10,改成流量请就位吧。这个综艺大概是来告诉我们演艺市场有多畸形...,6,
南南,2020-11-15 12:27:59,20,陈凯歌夸人/护犊子水平一绝啊。第二次更新：我不想看了，太欺负观众的智商和审美了,4,
尼玛若木,2020-11-02 23:33:36,10,陈凯歌疯了吧,5,
代数余子酱,2020-11-15 10:25:27,20,这样的节目已经有何意义？本来演员类节目是为了给演技好一直兢兢业业但是不成名的演员一个机会。结果这季请来了一堆想转型演员的唱跳爱豆，明里暗里是想在捧爱豆，粉丝在那里空瓶尬夸也真够有意思的，爱豆好好唱跳搞音乐不好吗？别来祸害演艺圈了,7,
Chanel,2020-10-26 22:49:19,10,尔冬升导的是什么鬼，评委也不敢得罪比自己厉害的人，人都是挑软柿子捏！,7,
Ove,2020-11-10 19:53:25,10,评论这种节目可以说脏话吗啥xXXXXXX真JXXXXXXX恶心心疼李诚儒老师,3,
山山而川,2020-10-26 06:58:16,20,一开始，四个导演，除了小四那张S卡有点二逼，大家的点评都还可以，勉强符合预期，看到最新一期，发现，几个导演开始油腔滑调了，不说实在话了，只有李成儒老师一如既往的说真话，谈想法，还被几个导演挤兑，真是难受，特别是陈凯歌这个货，无非就是年纪大点儿，说话弯弯绕绕，装深度，自己拍的那些个片子，心里没点数？烂片就是烂片，别扯没用的，就没拍过几部好片，说来说去就那部霸王别姬，还是他老爸的功劳居多！有啥本事，就是个表面说话感觉很有文化的假深度人而已！全场最实在的还是李成儒，真实！,13,
LOEWE,2020-11-15 16:02:02,10,从第二期开始越来越虚伪，假透了。怪不得内娱又烂又脏，好作品没有，观众还骂不得。资本想捧谁，观众没资格指手画脚。好演员找不到好活，烂艺人只需要讨好资本方和导演有的是钱。李成儒这个唯一一个说实话的走了，基本也就流量粉丝和一部分好事观众看。资本总是喂观众吃shit，烂导演、烂艺人、资本的天下。观众也很脆弱的！ps，选妃的某导演的粉丝，太脑残了，非正常人的感觉(网络中一女的，身边没有这种脑残),5,
棠梨簌簌,2020-10-31 23:20:22,10,李成儒下次不要来了，让这些烂鱼烂虾自己欢快的蹦跶在一块吧。节目组下次就请小鲜肉和空有年纪的伪老戏骨，绝对比现在还要精彩。大鹏说不知道捞女和海王，要是真的哈！我把郭小四的所有电影在家陈凯歌的无极看完，并且给五星好评！,4,
笑见龙在田,2020-11-07 14:05:36,10,很不错的节目，标题和内容一样，演员请就位。选手，导师和主持人都在演戏（但是很明显选手的演技普遍不如后两者），除了某李姓演员搞不清楚状况，似乎把演戏当真了，还好他退出了。,10,
蓝色雪35,2020-11-22 09:42:10,20,王锵，陈宥维，何昶希演的什么玩意？一路保送到决赛，太恶心了。,7,
大王,2020-11-23 19:31:33,10,这是在强调原版演员有多优秀吗,4,
可爱多多多多多,2020-11-15 23:55:34,10,为什么男演员到了郭导手里都变的gay里gay气,6,
free will,2020-11-04 08:09:46,10,看到陈大导演玩不起的样子真的是太好笑了😊,5,
我行其野,2020-11-16 00:14:14,10,众筹郭敬明拍耽美腐剧，你不合适谁合适。,0,
林中见雾,2020-11-15 15:47:17,20,改名资本请就位叭,6,
江湖骗子,2020-11-01 01:44:04,10,陈凯歌导演大发善心怕郭导孤单，从容不迫地跌到马里亚纳海沟陪伴郭导走完节目前半生，归来仍是热爱世界大和解的热血少年。不过赵导和尔导都觉得此举与陈导无关，一致认为是海沟的基本功有问题。,5,
虾几,2020-10-24 23:56:55,10,对演技差的公开处刑，建议改名《导演已就位》不过里面的食物链也挺明显的，导演开始导戏之后不可说了，导演戏比演员还足,6,
兔恰恰,2020-10-15 15:22:30,20,尔冬升可太装逼了。本来就是刷到了片段去看一下的，看完了简直好笑。陈宥维确实不行，但是尔冬升炮轰偶像一点意义都没有好吗。这是一个产业结构的问题，要是不懂麻烦闭麦，刁难一个小偶像算什么……怎么对着王一博就那么舔呢？王一博演技很好咯？还说古装剧xx，麻烦看看你拍的邵氏电影吧，你很有演技？无语，什么破节目。赵薇过分注重个人喜好，业务方面也没几句有用的；郭敬明分析剧本逻辑还能听下，业务指导全都摸瞎。李成儒少一点装逼的样子还能叫他一声前辈。只有陈凯歌的点评能听，说的也句句在理。说白了，请来的四个导演，只有一个是专业导演出身，有两个演员转型的，还有一个就是有钱任性。这三个自己都没啥水平，拍的电影什么样子心里有数。也不知道有什么好骂别人的。不是为了任敏陈凯歌，第一期都看不下去。麻烦营销号别乱推了，难看极了。,3,
ROBIN龙,2020-11-01 09:08:24,10,就这?第一期值得四星，但到现在，一星我都觉得多，啥破表演都可以夸?演的是啥啊就能被夸?炒热度炒疯了?,5,
Verna,2020-10-19 00:09:27,30,看到目前为止最舒服最完整的一场戏就是《梅兰芳》了，温峥嵘老师和黄梦莹姐姐两个人的气场好合适。温峥嵘饰演的福芝芳的台词是舒缓的，但是眼神却是凌厉的有攻势的。去年参与录制另一档演员竞技节目时有幸和温老师一起工作过，看她排戏时就被她那种强大的气场，投入的状态吸引，她能把自己完完全全的交给那个角色。希望未来能再看她演一部大女主的作品。,5,
Z,2020-10-25 00:56:48,30,导演间的互怼演员的作秀节目只是在搞些噱头吸引关注度失去了初衷我们这些爱电影的观众啊想要的只是一个只讨论演技的节目啊,5,
biubiu,2020-10-29 10:56:19,30,大鹏观感太差。,2,
石头,2020-11-04 04:19:11,20,给陈凯歌：无极就是不好，白昼流星就是全片最差单元，你导的误杀就是拖沓让人想快进，甄嬛传就是很差劲。,7,
已注销,2020-10-16 19:50:35,10,喜欢尔冬升，但郭敬明让我太有恶感了，可以想象如果以后的影视市场都是这样郭敬明的人，以后的影视作品会是什么个水平,4,
孤单的独白,2020-10-11 16:25:33,40,第四期改评价了四星,0,
Breeda A.A.,2020-10-14 12:39:13,50,天朝综艺还有比这更带劲的存在吗？撕逼战队拉偏架，郭敬明自杀式送命，不看太亏了。,3,
法外之徒,2020-10-03 16:19:46,40,按照市场评级/观众喜爱度决定作品选择权浪姐和明四早有尝试可惜都局限于人气与实力不对等的争议一味质疑其合理性却忽略了现实正演绎着更残酷的丛林法则演员二是唯一深入现实层面在台面上探讨问题的当片方话语权被移交给观众有代表作、国民度的演员始终拥有更多的机会选择适合自己的角色将其诠释好的概率也更高从而获得更多资源形成马太效应否则将很可能找不到合适的角色在职业生涯里频频滑铁卢但演员赛制优于选秀的一点是S级演员受到的关注度较高导演和观众的期待也更大一旦无法保持稳定、优质的表演就会瞬间跌入谷底B级演员也不至于还没被观众记住就一轮游//导演比演员戏多台下比台上戏足演员还就啥位？改「导演请就位」得了//目测最需要的其实是「编剧请就位」,2,
我屁股有洞,2020-10-31 23:47:15,10,可拉倒吧太恶熏了,5,
挖掘机铲喷子,2020-11-15 16:53:02,10,太恶心了，一帮人在捧臭脚，说这是个比拼演技的节目就是个笑话，拜拜了，你们自嗨去吧，祝郭敬明每部作品都扑街！,4,
有钱的人真帅,2020-11-10 20:57:57,10,我已经七八年没有看综艺节目了，其实是无聊点到才看的，四个导演最喜欢赵薇和尔冬升，不过这个郭敬明就tm的离谱，s卡都给了啥演员，选的阵容像是要拍小时代5，各种谜之操作真是很难让人不黑他，陈凯歌后面也是化身驰名双标，容不下别人对自己的批评，编辑水平烂的一批，后面各位导演也是互捧很恶心，而且这个节目对流量包容也太好了吧，对演的好的反而低不好的一等，还看流量影响力大就对谁好，不过想想毕竟是综艺节目也就当乐呵乐呵，弃了弃了,4,
#小软软#,2020-11-16 11:36:39,20,从网上的剧透看，李成儒退出，新人进入决赛，老人几乎全部淘汰。节目之初所有的真实与犀利，都逐渐被揭示不过是节目效果和先抑后扬的捧人套路。,3,
东久半,2020-11-10 18:41:15,10,看了这个综艺之后我终于找到国产影视烂的根源了，根本不尊重艺术，我看到的更多是资本强行喂食和互相舔屁股站队的圈子文化，就郭敬明陈凯歌这种家伙在圈内还想拍出好东西？不否认陈凯歌曾经牛逼过，不过现在的胸怀真的就跟个怨妇一样，郭敬明就不说了，一直就那烂样，搞笑的是这节目还给人感觉在洗白郭敬明，说了一大堆貌似政治正确的话也掩盖不了他根本没有导演才华的事实，对了，一星是给李成儒老师的，这个节目配不上他，或许我不该给综艺打低分，毕竟问题其实出在里面参与的嘉宾和评委身上，他们倒是真实的呈现了影视圈的这种现状,6,
Doudou,2020-10-11 17:50:02,30,三星给节目，话说可以让郭敬明这个烂片之王早点滚吗,7,
icon,2020-11-16 23:19:56,10,这节目不是看演员飙演技是强捧爱豆来的吧？演技为0情商为负的几个爱豆确定不是来招黑的？陈宥维和何昶希演的都什么玩意？还有本来不认识孟子义这个糊笔好家伙看了她对袁咏仪的态度直接恶感爆棚这种毫无演技乱改妆爱撒谎不尊重前辈没礼貌的🍵⏱滚出演艺圈好吗？好了连唯一一个敢说真话的李诚儒老师也走了，这节目也没看点了🤗,4,
豆瓣好吃吗,2020-10-10 22:56:47,30,我真是烦郭敬明，他有什么资格当导师，小时代吗？真没想到辣目洋子演戏这么好，被喜剧耽误了！11.22评分不断下降，也在意料之中。后面郭选河，陈选陈，这tm完全是选与自己有关系的人啊。（还有公平吗？）不得不说，我觉得大鹏的《花木兰》拍的真好！,0,
LongshuX,2020-11-14 22:59:03,10,演得垃圾的一直能得S卡,4,
烂剧有毒,2020-10-11 23:58:21,10,一档完完全全娱乐性的综艺，感觉就像一场闹剧，郭敬明导演导过的影视作品，有一部算一部，全是流量烂片，搁这对一些优秀的演员评头论足，毫无专业性地乱发s卡，把好好一个节目整成了选美大会，再加上一个起了争执不知道打圆场站队挑事的蠢货主持大鹏，真是有够恶心的,8,
anti,2020-10-26 10:59:03,20,误杀这么尬竟然被导演们说成全场最佳可能跟我不是艺术家有关当搞笑节目看吧,7,
有人喜歡藍,2020-11-15 01:16:34,10,上一季李少红倚老卖老，这一季变陈凯歌了，水平下降成那个样子估计心里还在想手捧金棕榈的时候吧。这一季总体短片都不好看，粗制滥造，剧本被节目组操控，导演丧失了自主权，纯粹为了迎合冲突效果制造热点。最可恶的是选演员没有底线，节目的初衷已经被金钱所捆绑,3,
goldlya,2020-11-15 13:18:50,10,真是尴尬的不行,5,
魔鬼弯道,2020-11-23 17:52:10,40,★★★★☆四星全给赵薇的《剧场》，《昨天》。本来看这个综艺就没想过来豆瓣打分，之前觉得不值得打分，但是看见赵薇这么牛的导演真的特别惊喜，既然看过，就要来表达我的喜爱！,5,
梦飞扬,2020-10-06 13:34:03,40,第二季换成尔冬升导演，多么明智的决定，感谢节目组，因为李少红其实真的很烦尔导的到来提升了专业的水准，凯哥导演一如既往的贴心，郭敬明导演的弟子任敏也开始发光发热,2,
Rita,2020-10-25 10:18:12,40,就喜欢李成儒老师，有的批评的还是太浅了,7,
萱芽开翠颖,2020-10-26 06:19:29,10,打着演技旗号行炒作之实，真实地被演技类节目给恶心到了,4,
趙豆豆,2020-11-15 20:42:11,20,导演的诞生。,2,
Rainbowlue℃,2020-10-30 22:16:59,30,还行吧，但大部分演员演技的确很尬，很多片段令人如坐针毡，如鲠在喉😂。但是还是有几个演员很优秀的！尤其是年轻演员任敏的确不错，未来可期。希望拓展些戏路吧。,3,
彼得泰格,2020-11-23 19:34:37,20,弃，这季废的彻底，白瞎了实力演员和苗子，从上季策划偏差起飞，一路狂奔给资本跪。挖的不是演技，是坑；剪的不是娱乐，是智商；卖的不是情怀，是会员vip。好一似食尽鸟投林，落得个胖墩墩综艺真矫情。,5,
青鱼,2020-11-01 09:24:01,10,尔导话很狠，但是行动比所有人都仁慈……想给陈宥维S，是咋想呢？郭敬明连给两个s卡，可能脑子秀逗了吧？曹骏什么时候变这么帅了？好喜欢啊！而且好温柔的感觉。,0,
Gen,2020-10-14 07:11:11,10,郭敬明配做导演陈凯歌都看不下去了,5,
豆友191679544,2020-10-26 18:39:18,10,我曾以为郭敬明是我的底线，现在我才发现原来是陈凯歌…为什么非要选《无极》选《回家的诱惑》呢？安安静静选个《霸王别姬》好好演戏不好吗？内心龌龊就受着这一星吧,6,
Cheer,2020-11-14 23:57:44,20,可以停了。,4,
小北,2020-11-03 18:16:43,10,都不敢说真话了，说真话的人还被阴阳怪气的人怼，垃圾节目！大家远离！,6,
暮然回首是吃货,2020-10-31 22:29:45,20,看到陈凯歌给甄嬛传的果郡王A，还是弃了吧…,5,
碾,2020-11-15 09:07:28,10,绝对内幕。演技好的老演员大多淘汰，没演技的年轻演员大多留下来。郭敬明赵薇没啥水平。陈凯歌点评能忽悠，导的却不咋样。,3,
一块草莓小蛋糕,2020-11-23 17:57:50,30,本来期待值蛮高的，越来越让人失望，话说小四真的不是看脸发卡看脸挑人吗？？？,2,
桔次郎,2020-11-17 20:39:58,30,尔·吃瓜不嫌事大·乡村爱情都看过·冬升❤️赵·圆滑待评委·严格喷演员·薇❤️郭·赶紧爆炸吧·敬明❤️陈·老阴阳人·大号郭敬明·凯歌❤️李·老实到被怼退赛·诚儒,2,
是大河,2020-10-02 20:18:00,20,剪的乱七八糟，演员半天也不就位，就在那里磨磨唧唧说个不停。。。,8,
Grape🍇,2020-11-01 09:05:20,10,追到第五期，真的快追不下去了，演得都是些啥的人晋级，资本后台才是最重要的,5,
保护视力,2020-10-18 19:01:22,10,郭敬明凭一己之力把这节目的水准拉到一文不值就尼玛离谱阿猫阿狗的流量争着去当演员就是劣币驱逐良币吧是吧是吧,5,
无人应答,2020-10-12 09:43:59,10,这个节目除了炒热度，无论在价值观或提升演员演技上都没有任何正向推动作用。恶心。呸。,4,
JoniJerry_HJN,2020-10-29 12:53:10,20,在扯淡，所有导演都在讲台面话，到亮卡片就他妈说心里话了，李成儒在关注的角度点评才是在讲真话,3,
胖子印度朋友,2020-11-07 23:13:53,10,一场闹剧，一坨狗屎,3,
QQS,2020-10-03 00:50:56,10,“演员”,7,
陶阡陌,2020-11-01 20:43:22,40,陈凯歌看似儒雅不曾想气度跟针尖儿一样老阴阳师了-。-,5,
Totoro,2020-10-25 20:11:29,10,只有李成儒老师值一颗星,6,
全世界失眠,2020-11-13 17:47:45,10,请小4就是为了看现场battle增加话题性吧……几期看下来小四老了就是陈凯歌吧不仅导演的差还双标其他导演在那端水主持人持续绿茶就李诚儒一个正常人也被他们逼走了真一出综艺剧本秀,4,
炸毛兔,2020-11-05 00:10:08,10,安能摧眉折腰事权贵，使我不得开心颜！！从导演到主持人狂怼李诚儒，尬夸陈凯歌，生捧演技烂的那几个！资本确实了不起。恶心🤢（从第一季看到现在，不想继续看下去了，重复一遍主持人真差劲！）,6,
大头,2020-10-05 21:38:58,10,郭敬明真是很讨厌，割韭菜的赵薇、虚伪的陈凯歌、扮猪吃虎的大鹏,1,
冷暖自知,2020-10-11 17:16:23,10,节目很好，一分的原因是郭敬明和几个所谓的鲜肉。国内已经充斥了大量的团类综艺。我是没想到演技这一块也要来凑热闹。于我不评价。他至少没让我出戏，何是什么鬼？我觉得肖战应该好好感谢你。在你的衬托下，让我知道了没有最差只有更差。你坐在那里不尴尬吗？！？还有郭敬明。我对他只有一句话。这不是你的后宫选妃子的地方。做个人吧。,6,
Grey,2020-11-08 01:13:33,10,直奔话题与炒新人的下三路,4,
桃芷音,2020-10-24 22:40:09,10,垃圾节目，搞事情,6,
你真可爱ớ,2020-10-03 05:40:58,40,规则比第一季好，还蛮喜欢尔冬升导演的，说的话都是我想说的,9,
你的怀抱杀,2020-11-01 08:28:03,10,粉丝就自嗨吧,5,
正义B胜,2020-11-16 12:29:31,10,我们的影视圈是怎么一步步堕落至此的，都在这了,4,
younaluo,2020-10-17 02:11:03,40,这个节目最大的成功之处就在于，小四在这么多年经营拥有一定决策自由之后，终于不再滴水不漏的讲话，而是现身说法地告诉所有人这个冷酷的真相——专业也好演技也罢终究比不过那个拥有决定权的人的一句喜欢。而小四令人钦佩的地方就是真实地贯彻自己的审美，让这个综艺节目成功吸引到更多点击量。他是一个成功的商人。李诚儒是无法打败小四的无论他有多专业多犀利。小四代表的是资本市场的真实认可。资本的力量目前只有政府这只手可以稍加控制。而资本选择的原罪却需要大众的庸俗审美和欲望来背负。这是李诚儒代表的精英文化的失败。,3,
朱古力,2020-10-15 04:37:33,20,李诚儒老师太惨了，总是被当枪，误杀这个片段他就说了实话，导演们互相抱团杀，我觉得主要还是凯歌导演不适合不尊重类型片，并用错方法对类型进行莫名升级但又不承认不合适，并最终转嫁在表演上，这其实也是另一种特权霸凌。误杀以后对凯歌导演的尊重只能停留在霸王别姬了，大概老前辈始终是无法接受自己那套不是放在任何领域都成立，你一个摘帽假定性靠你自己说硬塞给观众，观众对不起，不吃。以及与综艺同谋教戏的优点，架不住这么多年养尊处优，始终站在高点，但作为导演，作品扪心自问，对不对得起您说的道理，理论和实操，所拥有的资源和实效。这些旧东西该结束，不该硬留,0,
醉饮狂歌,2020-10-12 20:08:58,10,郭敬明凭一己之力拉跨整个节目,6,
Sad Lucy,2020-10-05 20:29:10,20,看得我直犯恶心,3,
squaror,2020-11-21 23:35:41,10,喂观众吃屎的节目，摆明了捧几个sb鲜肉，还要硬生生贬低一堆老演员，李成儒走了之后都成了鲜肉夸夸群，面目可憎令人生厌。可惜几位有实力的演员受到了负能量的摧残。如同吃了苍蝇一样难受。,2,
蜗牛然小九,2020-10-26 17:36:45,20,看你们商业互吹我真的难受，给李成儒老师点赞,4,
有心打扰,2020-10-03 03:09:57,20,每次四位导演亲自下场操作之后…就变味了。开始各种拐弯抹角、强行令人尴尬地夸、强行令人尴尬地发表不同意见…太恶心了。,1,
金智秀,2020-11-04 01:47:11,20,重新让我认识了陈凯歌双标👍🏻,6,
豌豆🍀,2020-11-04 16:30:31,10,把李成儒这一个唯一敢说真话的逼走了，还有啥意思？说到底还是劣币驱逐良币,4,
梅心晴,2020-10-28 00:12:47,10,一星给李老师，只有他是个老实人。这个节目，重新定义了大鹏和陈凯歌在我心中的形象。一个比一个精彩。还是洪晃看的透彻啊。文艺外表包装下的资本至上，枉我还真以为他是个艺术家。最真的只有李老师，做自己。,8,
平成宅叔,2020-10-12 10:48:12,40,陈凯歌真的是出口成章的那种文人知识分子，点评面面俱到，谈吐一气呵成，但是郭敬明的出现和不太专业的主持人把这个节目的level拉低了。,3,
忆君心,2020-11-04 08:15:03,20,把观众当傻子？,4,
茶言茶语,2020-10-29 12:30:52,30,这综艺从看演员改成看导演了。李成儒被怼的呦，他在娱乐圈这么多年，还怕听这话吗？我看他还当dj搓碟，挺潮的啊，有的导演这几年的作品，商业不商业，艺术不艺术，一言难尽。,3,
讨厌小芒果,2020-10-31 23:19:07,20,中低开低走流量至上无趣,3,
zz翔翔xx,2020-11-05 14:44:44,30,那个什么主持人大鹏比张大大还恶心！,4,
Miss料,2020-10-10 22:58:52,20,本来是想看专业演员们飙戏，这来了一堆演技为负的人，郭敬明还给了s？？？？？我他妈直接迷惑……还是微博看看片段吧，别浪费时间了（但尔冬升导演好敢讲哈哈哈哈哈哈，我要给他两颗星）,7,
皮皮蚪,2020-11-15 00:03:45,20,前面几期还是不错的，每期更新都会第一时间追着看，后面看多了就觉得枯燥无味都是一个套路，现在已经完全丧失了好感，第七期几乎是全程拉着进度条看完的，不想再继续了,5,
此木久难鸣,2020-11-09 23:09:02,40,虽然这综艺争议很大，但仍要说，可看性很高，因为导演点评干货是真的多。幻乐之城里的王菲每每点评都老说一堆套话废话，而这边不说尔冬升的犀利了，赵薇都能冷漠而平静地输出干货点评，对演员表演后的做作也能毫不留情地戳穿。,1,
瑾乔丶,2020-11-03 14:23:46,10,啥几把东西？陈凯歌不愧是老阴阳人了，节目里公开人身攻击李诚儒，我愿称之为霸王导演之小肚鸡肠，跟大鹏一起挤兑人家李诚儒，真是助纣为虐，蛇鼠一窝。你要做节目，要么就请过来的全是实力派演员，让强强对决，要么就请过来的全是转型小鲜肉，做养成类节目，踏马的一堆演员里放几个长得好看的偶像，然后名次还比人家实力派演员高，我真的是看不懂，就这也配叫做发掘实力派演员的节目？少恶心人出来冲kpi了好吧？,9,
阑瑟。,2020-10-25 00:28:05,10,为了炒作太没有下限了。挑了个没背景最好欺负的唐一菲，拉人进节目一刀刀凌迟。难怪前几期那么剪，真是恶心啊。,5,
黑巧苦不苦,2020-10-24 23:35:14,40,陈凯歌没气量。,4,
i逗,2020-11-14 23:56:12,20,郭敬明的部分我都跳过了还是跳不过他的恶心🤢,4,
咋地啊红爷,2020-11-10 19:58:01,10,恶心至极,3,
_wwyyxx_,2020-11-15 00:47:06,10,好多年轻的男男女女我都不认识，还要去百度一下谁是谁，演了啥。艾西，有的人的演技是真的……,3,
