ids,times,stars,previews,likes
pan pan,2020-10-11 00:21:34,10,真恶心，连郭敬明都能当评委，这什么眼光。请的这群演员也是演的尬到家了。,38,
Triangel,2020-10-02 23:58:34,10,有郭小四这种肮脏的东西在，这个节目还会干净吗？,38,
忍冬,2020-10-11 00:49:07,10,给何昶希s就离谱，太随便了这节目,29,
拓拓Esther,2020-10-11 09:14:22,10,大鹏情商？小四选妃？节目组为了要话题，竟整些三观不正的事儿。请广电封了这俩人吧,29,
松松松松呀,2020-10-02 22:59:36,40,马苏说五分钟的戏，怕观众get不到角色关系，害，怕不是低估了《隐秘的角落》的出圈程度......,76,
小烨,2020-10-10 23:31:14,30,看了何昶希演的魏无羡，我差一点就原谅了肖战，一具初代机器人在读对白，稍微对文字有一点理解能力都不至于演成这样，太可怕了……郭敬明是不是在给自己选“男团”？？？,78,
鼓腹游,2020-10-03 13:45:27,30,拔丝之吻看的我瞬间窒息！找流量还是找演员从这些制作人口中一下就明白了，节目方明显奔着流量来着的，所以看马苏、温峥嵘在B级，甚觉惋惜。从演员世家，到导演制片人，到金像奖主席，尔冬升点评句句到位，就这哪里狠了？非得小心翼翼呵护你们这些毫无生活沉淀、毫无演技质感、一捏就碎的爱豆的玻璃心？张大大这借口比我小时候作业忘了带还廉价，郭敬明？？？,62,
晗,2020-10-11 09:23:54,10,这一分是为郭敬明打得，是他毁了这节目，强行喂观众吃💩，陈凯歌真的只能说曾经是个好导演,31,
耿豆包,2020-10-03 01:16:48,40,尔导请多说实话,54,
棠夏,2020-10-11 02:09:32,10,郭敬明算导演吗？？？？,33,
苏晓,2020-10-10 22:05:24,10,本来就是为了看尔冬升“怼”人，但是看到李成儒pk郭，我去秒打一星，我要是李成儒我就直接不录了回家“躺尸”去了！！！神马玩意！！！骂都懒得骂,28,
风和雨,2020-10-10 21:06:14,10,果然娱乐圈就是恶心。江湖不见。,26,
气联——姜云升,2020-10-11 00:03:53,10,不想说了，小辣鸡,0,
万事想来都在朕,2020-10-03 03:04:04,40,尔东升导演666啊，李成儒老师期期都在就好了。,40,
多么好呀,2020-10-25 09:44:56,10,戏精请就位，李诚儒快逃吧,22,
霜月冬桥,2020-10-25 01:05:58,10,中国影视的悲哀，展现的淋漓尽致,22,
腊戌,2020-10-25 01:11:18,10,大鹏搅屎棍，还总是一副自负的丑陋样子，看的真让人倒胃口。郭敬明真的一直胡说八道，诡辩。陈凯歌架子很大，听不得一点差评。赵薇很可笑。尔冬升中规中矩，只是说了一些该说的话，什么敢说都是营销的，现在观众被环境影响的太容易震惊了，这是资本还有文艺领域合体做的坏事。李成儒老师最惨的，总是让他先说，他也诚实说了，最后被怼得罪人的还是他。偏偏他还愿意来，愿意继续说。真的老师，时代变了，谁认真谁输。,29,
Валентина,2020-10-03 00:16:51,30,李成儒和尔冬升nice,55,
刘十九,2020-10-06 14:37:29,30,要是能让郭敬明回家就好了，他也配？呸！,43,
番茄炒鸡蛋,2020-10-11 21:19:22,10,四娘一张S换我一张1星。｜看前两集以为只有郭敬明在秀底线，看到现在发现台下四个加整个节目组全是操蛋玩意儿，真是可怜老李头坐在那里受窝囊气，和唐一菲一起退赛了吧。,22,
Saladin🎯,2020-10-11 00:20:51,10,郭敬明就是个笑话～呵呵……,29,
ernst11,2020-10-11 19:24:09,10,矮子扣两星，主持人扣两星，其他挺好。,18,
Enchantee,2020-10-11 00:09:24,10,郭敬明依然是那个熟悉的诡辩达人,18,
Eliza,2020-10-03 01:16:41,30,张大大到哪里这么烦人,44,
爱弥留,2020-10-05 18:10:40,10,有几个演员？是只要演过戏无论演成什么样子都可以叫做演员吗？现在的演员标准和我小时候真的差好多。,22,
Wei,2020-10-25 01:06:16,10,这节目现在为了热度真的无所不用其极,18,
YI che,2020-10-03 01:45:07,20,说到底还是资本的游戏，看到一堆网红和icon为了曝光和转型大喊我就是演员，真的很尬。,50,
迷宝,2020-10-10 21:44:46,40,最喜欢看郭敬明哔哔哔一大堆，其他人憋着“卧槽这个大傻x”的潜台词然后环顾左右而言他的戏码了～陈凯歌说“It‘sasuchbigsurprise！”最佳台词！～～,32,
Ratatat,2020-10-02 22:04:55,30,第一期守着看了好无聊除了尔冬升导演其他三位已经完全没有新鲜感了赵薇给出去的S让人完全无法理解整期节目也没给出什么有价值的东西...任敏真不错期待后面的表现马苏和倪虹洁发挥正常稍微有点用力看了下后面剩的演员竟然不知道该期待谁了...,42,
jervisy,2020-10-10 21:14:11,20,郭敬明来选男团的，呵呵，给李诚儒老师加颗星！,31,
糖醋排骨真下饭,2020-10-27 12:56:14,30,当陈凯歌说出《误杀》的拉揾和阿玉应该爱与宽容的时候，我就理解为什么《霸王别姬》后再无好作品，他才是那个封闭世界的人，现实版何不食肉糜,27,
吴亦凡,2020-10-03 01:48:25,50,为尔冬升导演打call！审美完全和他一致哈～,78,
little airport,2020-10-11 16:01:03,10,郭敬明有资格坐到导师席上吗，他有一部评分超过6分的电影吗,16,
